N,seed,probe_idx,class,baseline_correct,a1_success,a1_retrieved,a1_pixel_i,a1_pixel_j,a1_pixel_val,a1_l2,a1_cosine_delta,a2_success,a2_retrieved,a2_pixel_i,a2_pixel_j,a2_channel,a2_pixel_val,a2_l2,a2_cosine_delta,b1_success,b1_retrieved,b2_success,b2_retrieved,cos_raw,cos_proc
100,42,56,Dog,1,0,56,5,1,1.0,0.8877,-0.00071,0,56,5,1,G,1.0,0.5248,-0.000345,0,21,0,21,0.84578,-0.00882
100,42,34,Cat,1,0,34,13,31,1.0,0.9859,-0.000143,0,34,13,31,G,1.0,0.5778,-5.4e-05,0,22,0,22,0.84578,-0.00882
100,42,40,Deer,1,0,40,15,4,0.0,0.9935,-0.00048,0,40,15,4,G,0.0,0.5847,-0.000261,0,23,0,23,0.84578,-0.00882
100,42,57,Dog,1,0,57,24,3,1.0,0.9737,-0.000108,0,57,23,24,G,0.0,0.587,-2.7e-05,0,24,0,24,0.84578,-0.00882
100,42,7,Airplane,1,0,7,27,3,0.0,0.9719,-0.001177,0,7,16,18,G,0.0,0.5364,-0.00047,0,25,0,25,0.84578,-0.00882
100,42,89,Ship,1,0,89,12,9,0.0,0.9423,-0.000596,0,89,12,9,G,0.0,0.5548,-0.000293,0,26,0,26,0.84578,-0.00882
100,42,88,Ship,1,0,88,14,15,0.0,0.9573,-0.000215,0,88,19,4,G,0.0,0.5847,-6.4e-05,0,27,0,27,0.84578,-0.00882
100,42,2,Airplane,1,0,2,8,20,1.0,0.8059,-0.001079,0,2,8,20,G,1.0,0.4765,-0.0006,0,28,0,28,0.84578,-0.00882
100,42,33,Cat,1,0,33,28,27,1.0,0.8657,-0.000106,0,33,27,1,G,0.0,0.5202,-9e-06,0,29,0,29,0.84578,-0.00882
100,42,28,Bird,1,0,28,25,7,1.0,0.8615,-0.000482,0,28,25,7,G,1.0,0.5202,-0.00023,0,30,0,30,0.84578,-0.00882
100,42,72,Horse,1,0,72,8,14,1.0,0.8781,-0.000351,0,72,10,31,G,0.0,0.4512,-0.00018,0,31,0,31,0.84578,-0.00882
100,42,46,Deer,1,0,46,27,19,0.0,0.9869,-1.2e-05,0,46,27,19,G,0.0,0.5801,-3e-06,0,32,0,32,0.84578,-0.00882
100,42,45,Deer,1,0,45,16,13,1.0,0.792,-0.000485,0,45,16,13,G,1.0,0.4673,-0.000159,0,33,0,33,0.84578,-0.00882
100,42,74,Horse,1,0,74,2,27,1.0,0.9193,-0.000606,0,74,2,27,G,1.0,0.5387,-0.000296,0,34,0,34,0.84578,-0.00882
100,42,49,Deer,1,0,49,13,15,1.0,0.8853,-0.000345,0,49,14,26,G,0.0,0.465,-0.000157,0,35,0,35,0.84578,-0.00882
100,42,90,Truck,1,0,90,5,14,1.0,0.8028,-0.000178,0,90,16,5,G,0.0,0.5318,-6.3e-05,0,36,0,36,0.84578,-0.00882
100,42,15,Automobile,1,0,15,13,29,0.0,0.9582,-0.000932,0,15,13,29,G,0.0,0.564,-0.000454,0,37,0,37,0.84578,-0.00882
100,42,62,Frog,1,0,62,31,0,0.0,0.9449,-0.000305,0,62,31,0,G,0.0,0.5525,-0.000131,0,38,0,38,0.84578,-0.00882
100,42,82,Ship,1,0,82,5,20,1.0,0.8578,-0.001421,0,82,5,20,G,1.0,0.5018,-0.000724,0,39,0,39,0.84578,-0.00882
100,42,73,Horse,1,0,73,17,7,0.0,0.9245,-3.5e-05,0,73,17,7,G,0.0,0.5456,-1.5e-05,0,40,0,40,0.84578,-0.00882
100,42,32,Cat,1,0,32,31,22,0.0,0.9711,-0.000233,0,32,31,22,G,0.0,0.5709,-0.00011,0,41,0,41,0.84578,-0.00882
100,42,86,Ship,1,0,86,18,17,0.0,0.9484,-0.000709,0,86,18,17,G,0.0,0.5594,-0.000332,0,42,0,42,0.84578,-0.00882
100,42,84,Ship,1,0,84,15,16,0.0,0.9438,-0.000464,0,84,15,16,G,0.0,0.5525,-0.000222,0,43,0,43,0.84578,-0.00882
100,42,58,Dog,1,0,58,15,22,0.0,0.999,-2.9e-05,0,58,15,22,G,0.0,0.587,-1e-05,0,44,0,44,0.84578,-0.00882
100,42,44,Deer,1,0,44,23,25,1.0,0.9235,-0.000538,0,44,23,25,G,1.0,0.541,-0.000219,0,45,0,45,0.84578,-0.00882
100,42,29,Bird,1,0,29,7,11,0.0,0.753,-0.003026,0,29,6,16,G,0.0,0.4259,-0.001466,0,46,0,46,0.84578,-0.00882
100,42,83,Ship,1,0,83,20,26,1.0,0.9904,-0.001199,0,83,20,26,G,1.0,0.5824,-0.000576,0,47,0,47,0.84578,-0.00882
100,42,41,Deer,1,0,41,15,19,0.0,0.8658,-0.000639,0,41,15,19,G,0.0,0.4972,-0.000312,0,48,0,48,0.84578,-0.00882
100,42,66,Frog,1,0,66,6,26,0.0,0.8953,-0.000132,0,66,16,0,G,1.0,0.564,-3.9e-05,0,49,0,49,0.84578,-0.00882
100,43,17,Automobile,1,0,17,27,27,1.0,1.0,-0.000695,0,17,27,27,G,1.0,0.587,-0.000354,0,0,0,0,0.83996,-0.00913
100,43,15,Automobile,1,0,15,21,5,0.0,0.8998,-0.002042,0,15,21,5,G,0.0,0.5364,-0.001076,0,1,0,1,0.83996,-0.00913
100,43,58,Dog,1,0,58,0,22,1.0,0.8101,-0.000341,0,58,0,22,G,1.0,0.4742,-0.000134,0,2,0,2,0.83996,-0.00913
100,43,48,Deer,1,0,48,2,1,0.0,0.8274,-0.00078,0,48,2,1,G,0.0,0.4857,-0.000375,0,3,0,3,0.83996,-0.00913
100,43,6,Airplane,1,0,6,16,31,1.0,0.9381,-0.000753,0,6,16,17,G,1.0,0.5156,-0.000357,0,4,0,4,0.83996,-0.00913
100,43,99,Truck,1,0,99,4,6,0.0,0.9098,-0.000212,0,99,31,24,G,1.0,0.5479,-2.8e-05,0,5,0,5,0.83996,-0.00913
100,43,2,Airplane,1,0,2,20,9,1.0,0.8497,-0.002064,0,2,20,9,G,1.0,0.4972,-0.000959,0,6,0,6,0.83996,-0.00913
100,43,45,Deer,1,0,45,6,28,0.0,0.9712,-0.000273,0,45,6,28,G,0.0,0.5709,-0.000127,0,7,0,7,0.83996,-0.00913
100,43,33,Cat,1,0,33,21,9,0.0,0.9953,-0.002599,0,33,21,9,G,0.0,0.5847,-0.001291,0,8,0,8,0.83996,-0.00913
100,43,19,Automobile,1,0,19,17,3,0.0,0.9685,-1e-05,0,19,17,16,G,0.0,0.5663,-2e-06,0,9,0,9,0.83996,-0.00913
100,43,63,Frog,1,0,63,8,22,1.0,0.9536,-0.000154,0,63,24,0,G,0.0,0.5663,-6e-05,0,10,0,10,0.83996,-0.00913
100,43,13,Automobile,1,0,13,7,27,0.0,0.9837,-0.000533,0,13,7,27,G,0.0,0.5778,-0.000247,0,11,0,11,0.83996,-0.00913
100,43,21,Bird,1,0,21,7,16,0.0,0.9252,-0.001546,0,21,7,16,G,0.0,0.5456,-0.000781,0,12,0,12,0.83996,-0.00913
100,43,93,Truck,1,0,93,8,6,1.0,0.8709,-0.000136,0,93,4,16,G,0.0,0.5709,-1.9e-05,0,13,0,13,0.83996,-0.00913
100,43,16,Automobile,1,0,16,21,9,1.0,0.9637,-0.000593,0,16,21,9,G,1.0,0.564,-0.000291,0,14,0,14,0.83996,-0.00913
100,43,20,Bird,1,0,20,23,22,1.0,0.884,-0.001402,0,20,23,22,G,1.0,0.5133,-0.00061,0,15,0,15,0.83996,-0.00913
100,43,28,Bird,1,0,28,12,16,0.0,0.901,-0.001001,0,28,12,16,G,0.0,0.5225,-0.000407,0,16,0,16,0.83996,-0.00913
100,43,62,Frog,1,0,62,18,4,1.0,0.9509,-0.00233,0,62,13,28,G,0.0,0.4167,-0.001047,0,17,0,17,0.83996,-0.00913
100,43,71,Horse,1,0,71,0,0,0.0,0.8569,-0.002135,0,71,0,0,G,0.0,0.5087,-0.001087,0,18,0,18,0.83996,-0.00913
100,43,9,Airplane,1,0,9,24,2,1.0,0.8331,-0.001004,0,9,24,2,G,1.0,0.4903,-0.000523,0,19,0,19,0.83996,-0.00913
100,43,50,Dog,1,0,50,0,16,0.0,0.8402,-0.000678,0,50,0,16,G,0.0,0.4857,-0.000303,0,20,0,20,0.83996,-0.00913
100,43,54,Dog,1,0,54,6,8,0.0,0.797,-0.001533,0,54,6,8,G,0.0,0.4719,-0.000756,0,21,0,21,0.83996,-0.00913
100,43,53,Dog,1,0,53,0,27,1.0,0.9057,-0.000104,0,53,6,29,G,1.0,0.5341,-2.7e-05,0,22,0,22,0.83996,-0.00913
100,43,34,Cat,1,0,34,30,21,1.0,0.9348,-0.000555,0,34,29,15,G,1.0,0.5617,-0.000212,0,23,0,23,0.83996,-0.00913
100,43,37,Cat,1,0,37,0,30,0.0,0.9051,-0.002205,0,37,0,30,G,0.0,0.5341,-0.00104,0,24,0,24,0.83996,-0.00913
100,43,94,Truck,1,0,94,0,6,0.0,0.9657,-0.000481,0,94,0,6,G,0.0,0.5686,-0.0002,0,25,0,25,0.83996,-0.00913
100,43,95,Truck,1,0,95,15,4,1.0,0.7963,-0.000503,0,95,15,4,G,1.0,0.4673,-0.000234,0,26,0,26,0.83996,-0.00913
100,43,51,Dog,1,0,51,22,16,0.0,0.872,-0.00015,0,51,7,17,G,1.0,0.5594,-1.5e-05,0,27,0,27,0.83996,-0.00913
100,43,42,Deer,1,0,42,7,1,1.0,0.8333,-0.000362,0,42,17,16,G,1.0,0.541,-0.000161,0,28,0,28,0.83996,-0.00913
100,43,97,Truck,1,0,97,0,31,0.0,0.7666,-0.000221,0,97,0,31,G,0.0,0.4604,-0.000105,0,29,0,29,0.83996,-0.00913
100,43,72,Horse,1,0,72,20,22,1.0,0.8924,-0.001181,0,72,26,0,G,0.0,0.4443,-0.000552,0,30,0,30,0.83996,-0.00913
100,43,31,Cat,1,0,31,15,15,0.0,0.8822,-0.000713,0,31,15,9,G,0.0,0.4742,-0.000295,0,31,0,31,0.83996,-0.00913
100,43,69,Frog,1,0,69,23,12,0.0,0.7816,-0.000121,0,69,23,12,G,0.0,0.4903,-5.3e-05,0,32,0,32,0.83996,-0.00913
100,43,26,Bird,1,0,26,23,21,1.0,0.9444,-0.003071,0,26,23,21,G,1.0,0.5548,-0.001443,0,33,0,33,0.83996,-0.00913
100,43,83,Ship,1,0,83,21,2,1.0,0.8369,-0.000143,0,83,29,28,G,0.0,0.5824,1e-06,0,34,0,34,0.83996,-0.00913
100,43,80,Ship,1,0,80,21,12,0.0,0.9987,-0.001534,0,80,21,12,G,0.0,0.587,-0.00075,0,35,0,35,0.83996,-0.00913
100,43,27,Bird,1,0,27,6,18,0.0,0.9759,-0.000505,0,27,6,18,G,0.0,0.5732,-0.000233,0,36,0,36,0.83996,-0.00913
100,43,91,Truck,1,0,91,6,11,0.0,0.9569,-0.000991,0,91,6,11,G,0.0,0.5571,-0.000466,0,37,0,37,0.83996,-0.00913
100,43,73,Horse,1,0,73,20,23,1.0,0.9233,-0.000187,0,73,1,17,G,0.0,0.5755,-1.3e-05,0,38,0,38,0.83996,-0.00913
100,43,86,Ship,1,0,86,25,15,0.0,0.9665,-0.000437,0,86,25,15,G,0.0,0.5686,-0.000211,0,39,0,39,0.83996,-0.00913
100,43,61,Frog,1,0,61,25,0,1.0,0.8783,-0.001963,0,61,27,2,G,1.0,0.5041,-0.000926,0,40,0,40,0.83996,-0.00913
100,43,1,Airplane,1,0,1,16,15,0.0,0.9552,-4.9e-05,0,1,16,15,G,0.0,0.5571,-1.6e-05,0,41,0,41,0.83996,-0.00913
100,43,57,Dog,1,0,57,15,3,0.0,0.7308,-0.001626,0,57,15,3,G,0.0,0.4489,-0.000916,0,42,0,42,0.83996,-0.00913
100,43,96,Truck,1,0,96,24,22,1.0,0.8216,-0.000638,0,96,24,22,G,1.0,0.4834,-0.000315,0,43,0,43,0.83996,-0.00913
100,43,46,Deer,1,0,46,18,17,1.0,0.8765,-0.001382,0,46,18,17,G,1.0,0.5156,-0.000624,0,44,0,44,0.83996,-0.00913
100,43,40,Deer,1,0,40,20,22,1.0,0.8996,-0.000571,0,40,20,22,G,1.0,0.5295,-0.000292,0,45,0,45,0.83996,-0.00913
100,43,52,Dog,1,0,52,6,13,0.0,0.8836,-0.000375,0,52,6,13,G,0.0,0.5271,-0.000166,0,46,0,46,0.83996,-0.00913
100,43,12,Automobile,1,0,12,13,17,1.0,0.9969,-0.001071,0,12,13,17,G,1.0,0.587,-0.000499,0,47,0,47,0.83996,-0.00913
100,43,30,Cat,1,0,30,10,0,0.0,0.9987,-0.00013,0,30,11,3,G,0.0,0.587,-4.1e-05,0,48,0,48,0.83996,-0.00913
100,43,10,Automobile,1,0,10,11,22,0.0,0.8117,-0.000811,0,10,11,22,G,0.0,0.4742,-0.000382,0,49,0,49,0.83996,-0.00913
100,44,46,Deer,1,0,46,14,13,1.0,0.8395,-0.004971,0,46,14,13,G,1.0,0.5041,-0.002253,0,0,0,0,0.82957,-0.00916
100,44,86,Ship,1,0,86,21,18,1.0,0.8877,-0.00153,0,86,21,18,G,1.0,0.5202,-0.000703,0,1,0,1,0.82957,-0.00916
100,44,32,Cat,1,0,32,18,24,0.0,0.7591,-0.000632,0,32,13,25,G,1.0,0.4558,-0.000277,0,2,0,2,0.82957,-0.00916
100,44,9,Airplane,1,0,9,27,29,1.0,0.9869,-0.000272,0,9,27,29,G,1.0,0.5824,-0.000129,0,3,0,3,0.82957,-0.00916
100,44,22,Bird,1,0,22,7,22,1.0,0.9243,-0.000151,0,22,8,20,G,1.0,0.564,-5.8e-05,0,4,0,4,0.82957,-0.00916
100,44,65,Frog,1,0,65,9,10,1.0,0.8715,-0.000841,0,65,9,10,G,1.0,0.511,-0.000379,0,5,0,5,0.82957,-0.00916
100,44,25,Bird,1,0,25,3,6,1.0,0.8403,-0.000366,0,25,3,6,G,1.0,0.5041,-0.000183,0,6,0,6,0.82957,-0.00916
100,44,78,Horse,1,0,78,7,30,1.0,0.83,-0.000199,0,78,0,27,G,0.0,0.5571,-2.6e-05,0,7,0,7,0.82957,-0.00916
100,44,87,Ship,1,0,87,9,10,0.0,0.9801,-0.000214,0,87,18,15,G,1.0,0.5525,-0.000105,0,8,0,8,0.82957,-0.00916
100,44,5,Airplane,1,0,5,19,30,0.0,0.9318,-0.000639,0,5,18,30,G,0.0,0.5156,-0.000318,0,9,0,9,0.82957,-0.00916
100,44,31,Cat,1,0,31,24,0,0.0,0.9727,-0.000353,0,31,24,0,G,0.0,0.5709,-0.000188,0,10,0,10,0.82957,-0.00916
100,44,15,Automobile,1,0,15,26,28,1.0,0.9133,-0.000254,0,15,26,28,G,1.0,0.5387,-0.000108,0,11,0,11,0.82957,-0.00916
100,44,64,Frog,1,0,64,13,23,0.0,0.8499,-0.001074,0,64,13,23,G,0.0,0.4903,-0.000554,0,12,0,12,0.82957,-0.00916
100,44,6,Airplane,1,0,6,8,25,1.0,0.9146,-0.000906,0,6,8,25,G,1.0,0.5364,-0.000438,0,13,0,13,0.82957,-0.00916
100,44,44,Deer,1,0,44,1,21,0.0,0.9964,-0.000413,0,44,2,29,G,0.0,0.5755,-0.000182,0,14,0,14,0.82957,-0.00916
100,44,42,Deer,1,0,42,1,31,0.0,0.8043,-0.002566,0,42,1,31,G,0.0,0.5156,-0.001455,0,15,0,15,0.82957,-0.00916
100,44,41,Deer,1,0,41,12,11,1.0,0.9092,-0.002427,0,41,12,11,G,1.0,0.5571,-0.001028,0,16,0,16,0.82957,-0.00916
100,44,91,Truck,1,0,91,31,0,0.0,0.9729,-0.000265,0,91,31,24,G,0.0,0.5225,-0.000115,0,17,0,17,0.82957,-0.00916
100,44,12,Automobile,1,0,12,20,1,1.0,0.9409,-0.000521,0,12,20,1,G,1.0,0.5525,-0.000262,0,18,0,18,0.82957,-0.00916
100,44,85,Ship,1,0,85,19,25,1.0,0.9504,-0.001344,0,85,19,25,G,1.0,0.5571,-0.000641,0,19,0,19,0.82957,-0.00916
100,44,13,Automobile,1,0,13,1,10,1.0,0.9996,-4.1e-05,0,13,1,10,G,1.0,0.587,-1.6e-05,0,20,0,20,0.82957,-0.00916
100,44,52,Dog,1,0,52,6,26,1.0,0.9695,-0.0001,0,52,6,26,G,1.0,0.5709,-4.2e-05,0,21,0,21,0.82957,-0.00916
100,44,69,Frog,1,0,69,22,20,1.0,0.8859,-0.003933,0,69,22,20,G,1.0,0.5202,-0.001874,0,22,0,22,0.82957,-0.00916
100,44,49,Deer,1,0,49,8,4,1.0,0.7796,-0.001304,0,49,8,4,G,1.0,0.4512,-0.000649,0,23,0,23,0.82957,-0.00916
100,44,80,Ship,1,0,80,18,0,0.0,0.996,-4.7e-05,0,80,18,0,G,0.0,0.5847,-1.1e-05,0,24,0,24,0.82957,-0.00916
100,44,68,Frog,1,0,68,9,13,1.0,0.85,-0.000135,0,68,18,2,G,0.0,0.587,-3.8e-05,0,25,0,25,0.82957,-0.00916
100,44,8,Airplane,1,0,8,16,18,0.0,0.8075,-0.00208,0,8,16,18,G,0.0,0.4903,-0.001008,0,26,0,26,0.82957,-0.00916
100,44,38,Cat,1,0,38,25,0,1.0,1.0,-0.000627,0,38,25,0,G,1.0,0.587,-0.000302,0,27,0,27,0.82957,-0.00916
100,44,40,Deer,1,0,40,17,19,1.0,0.8543,-0.000834,0,40,17,19,G,1.0,0.5133,-0.000434,0,28,0,28,0.82957,-0.00916
100,44,37,Cat,1,0,37,31,19,0.0,0.7632,-0.002214,0,37,31,19,G,0.0,0.442,-0.001102,0,29,0,29,0.82957,-0.00916
100,44,72,Horse,1,0,72,7,14,0.0,0.9964,-0.000334,0,72,7,14,G,0.0,0.5847,-0.000137,0,30,0,30,0.82957,-0.00916
100,44,77,Horse,1,0,77,4,21,1.0,0.8435,-0.000127,0,77,5,2,G,0.0,0.5456,-2.1e-05,0,31,0,31,0.82957,-0.00916
100,44,55,Dog,1,0,55,9,12,0.0,0.9807,-0.001023,0,55,9,12,G,0.0,0.5709,-0.000455,0,32,0,32,0.82957,-0.00916
100,44,27,Bird,1,0,27,13,1,0.0,0.9999,-0.000817,0,27,13,1,G,0.0,0.587,-0.000378,0,33,0,33,0.82957,-0.00916
100,44,89,Ship,1,0,89,13,10,0.0,0.8218,-0.000693,0,89,13,10,G,0.0,0.4811,-0.000227,0,34,0,34,0.82957,-0.00916
100,44,30,Cat,1,0,30,12,28,0.0,0.9578,-0.000518,0,30,11,23,G,0.0,0.5156,-0.000231,0,35,0,35,0.82957,-0.00916
100,44,94,Truck,1,0,94,15,22,0.0,0.9416,-0.000611,0,94,9,5,G,0.0,0.511,-0.000297,0,36,0,36,0.82957,-0.00916
100,44,36,Cat,1,0,36,22,5,1.0,0.8848,-0.000164,0,36,17,3,G,0.0,0.5479,-3.6e-05,0,37,0,37,0.82957,-0.00916
100,44,10,Automobile,1,0,10,19,20,1.0,0.973,-0.000241,0,10,26,3,G,1.0,0.587,-4.6e-05,0,38,0,38,0.82957,-0.00916
100,44,51,Dog,1,0,51,1,4,0.0,0.7862,-0.001078,0,51,1,4,G,0.0,0.4535,-0.000551,0,39,0,39,0.82957,-0.00916
100,44,81,Ship,1,0,81,20,20,1.0,0.8389,-0.000286,0,81,20,20,G,1.0,0.4972,-0.00013,0,40,0,40,0.82957,-0.00916
100,44,28,Bird,1,0,28,12,27,1.0,0.8651,-0.000224,0,28,12,27,G,1.0,0.5087,-0.0001,0,41,0,41,0.82957,-0.00916
100,44,4,Airplane,1,0,4,24,11,1.0,0.9432,-0.000126,0,4,14,17,G,0.0,0.5341,-3.2e-05,0,42,0,42,0.82957,-0.00916
100,44,7,Airplane,1,0,7,18,23,1.0,0.8941,-0.000991,0,7,18,23,G,1.0,0.5295,-0.000454,0,43,0,43,0.82957,-0.00916
100,44,48,Deer,1,0,48,0,31,0.0,0.9604,-0.00037,0,48,0,31,G,0.0,0.5755,-0.000166,0,44,0,44,0.82957,-0.00916
100,44,34,Cat,1,0,34,22,0,1.0,0.9753,-1.1e-05,0,34,22,0,G,1.0,0.5755,-5e-06,0,45,0,45,0.82957,-0.00916
100,44,33,Cat,1,0,33,14,26,1.0,0.8978,-0.000486,0,33,14,26,G,1.0,0.5271,-0.000192,0,46,0,46,0.82957,-0.00916
100,44,63,Frog,1,0,63,13,5,0.0,0.7753,-0.002938,0,63,13,5,G,0.0,0.5041,-0.001688,0,47,0,47,0.82957,-0.00916
100,44,75,Horse,1,0,75,0,22,0.0,0.9894,-0.000637,0,75,0,21,G,0.0,0.5847,-0.000307,0,48,0,48,0.82957,-0.00916
100,44,39,Cat,1,0,39,5,18,0.0,0.7831,-0.000537,0,39,5,18,G,0.0,0.4397,-0.000243,0,49,0,49,0.82957,-0.00916
100,45,89,Ship,1,0,89,0,11,0.0,0.9638,-0.000541,0,89,0,11,G,0.0,0.5755,-0.000231,0,0,0,0,0.82437,-0.00852
100,45,67,Frog,1,0,67,15,14,0.0,0.9733,-0.0007,0,67,15,14,G,0.0,0.5755,-0.000334,0,1,0,1,0.82437,-0.00852
100,45,73,Horse,1,0,73,18,5,0.0,0.9692,-3.2e-05,0,73,18,5,G,0.0,0.5732,-1.1e-05,0,2,0,2,0.82437,-0.00852
100,45,75,Horse,1,0,75,19,1,0.0,0.9999,-8.5e-05,0,75,19,1,G,0.0,0.587,-3.6e-05,0,3,0,3,0.82437,-0.00852
100,45,1,Airplane,1,0,1,6,3,1.0,0.7344,-0.001273,0,1,6,3,G,1.0,0.4351,-0.000691,0,4,0,4,0.82437,-0.00852
100,45,62,Frog,1,0,62,2,28,0.0,0.8242,-0.000705,0,62,2,29,G,0.0,0.5018,-0.000302,0,5,0,5,0.82437,-0.00852
100,45,55,Dog,1,0,55,12,14,0.0,0.9475,-2.5e-05,0,55,12,14,G,0.0,0.5663,-1e-05,0,6,0,6,0.82437,-0.00852
100,45,42,Deer,1,0,42,4,25,1.0,0.839,-0.000191,0,42,30,2,G,0.0,0.587,-2.5e-05,0,7,0,7,0.82437,-0.00852
100,45,95,Truck,1,0,95,17,31,0.0,0.9917,-0.000639,0,95,11,19,G,1.0,0.5018,-0.000309,0,8,0,8,0.82437,-0.00852
100,45,3,Airplane,1,0,3,23,3,1.0,0.9949,-0.00142,0,3,23,3,G,1.0,0.5847,-0.000747,0,9,0,9,0.82437,-0.00852
100,45,4,Airplane,1,0,4,3,30,1.0,0.814,-0.000813,0,4,3,30,G,1.0,0.4811,-0.00042,0,10,0,10,0.82437,-0.00852
100,45,38,Cat,1,0,38,17,28,0.0,0.9649,-6.5e-05,0,38,17,28,G,0.0,0.5663,-2.9e-05,0,11,0,11,0.82437,-0.00852
100,45,12,Automobile,1,0,12,16,8,0.0,0.9666,-2.4e-05,0,12,16,8,G,0.0,0.5709,-1e-05,0,12,0,12,0.82437,-0.00852
100,45,97,Truck,1,0,97,7,5,1.0,0.8567,-0.000883,0,97,7,5,G,1.0,0.4972,-0.000424,0,13,0,13,0.82437,-0.00852
100,45,79,Horse,1,0,79,21,8,1.0,0.9978,-2e-05,0,79,21,8,G,1.0,0.587,-7e-06,0,14,0,14,0.82437,-0.00852
100,45,9,Airplane,1,0,9,22,6,0.0,0.9224,-0.000913,0,9,22,6,G,0.0,0.541,-0.000398,0,15,0,15,0.82437,-0.00852
100,45,17,Automobile,1,0,17,17,13,1.0,0.971,-0.001367,0,17,17,13,G,1.0,0.5847,-0.000635,0,16,0,16,0.82437,-0.00852
100,45,58,Dog,1,0,58,6,18,0.0,0.777,-0.000823,0,58,6,18,G,0.0,0.4512,-0.000404,0,17,0,17,0.82437,-0.00852
100,45,26,Bird,1,0,26,11,13,1.0,0.9329,-0.003013,0,26,11,13,G,1.0,0.541,-0.001444,0,18,0,18,0.82437,-0.00852
100,45,41,Deer,1,0,41,19,29,1.0,0.8567,-0.000522,0,41,19,29,G,1.0,0.5087,-0.000243,0,19,0,19,0.82437,-0.00852
100,45,57,Dog,1,0,57,23,20,0.0,0.8936,-0.001139,0,57,23,20,G,0.0,0.5133,-0.000487,0,20,0,20,0.82437,-0.00852
