seed,probe_idx,class,baseline_correct,a1_success,a1_retrieved,a1_pixel_i,a1_pixel_j,a1_pixel_val,a1_l2,a1_cosine_delta,a2_success,a2_retrieved,a2_pixel_i,a2_pixel_j,a2_channel,a2_pixel_val,a2_l2,a2_cosine_delta,b1_success,b1_retrieved,b2_success,b2_retrieved,mean_pairwise_cosine
43,6,Frog,0,1,0,29,8,0.0,0.957,0.0,1,0,29,8,G,0.0,0.5617,0.0,1,0,1,0,0.79207
43,7,Horse,1,0,7,7,15,0.0,0.9987,1e-06,0,7,7,15,G,0.0,0.587,1e-06,0,7,0,7,0.79207
43,8,Ship,0,1,0,0,0,0.0,0.9987,1e-06,1,0,0,0,G,0.0,0.587,1e-06,1,0,1,0,0.79207
43,9,Truck,0,1,0,7,14,0.0,0.949,0.0,1,0,7,14,G,0.0,0.5571,0.0,1,0,1,0,0.79207
44,0,Airplane,0,1,5,5,23,0.0,0.8005,0.0,1,5,5,23,G,0.0,0.4788,0.0,1,5,1,5,0.86805
44,1,Automobile,0,1,5,16,12,0.0,0.9319,-1e-06,1,5,16,12,G,0.0,0.5525,-1e-06,1,5,1,5,0.86805
44,2,Bird,0,1,5,14,23,0.0,0.8515,0.0,1,5,14,23,G,0.0,0.4949,0.0,1,5,1,5,0.86805
44,3,Cat,1,0,3,12,28,0.0,0.9578,0.0,0,3,12,28,G,0.0,0.5525,0.0,0,3,0,3,0.86805
44,4,Deer,0,1,3,10,14,0.0,0.76,-0.0,1,3,10,14,G,0.0,0.4443,-0.0,1,3,1,3,0.86805
44,5,Dog,1,0,5,9,26,0.0,0.9999,0.0,0,5,9,26,G,0.0,0.587,0.0,0,5,0,5,0.86805
44,6,Frog,0,1,5,9,31,0.0,0.7684,-0.0,1,5,9,31,G,0.0,0.4259,-0.0,1,5,1,5,0.86805
44,7,Horse,1,0,7,0,6,0.0,0.9636,0.0,0,7,0,6,G,0.0,0.5824,0.0,0,7,0,7,0.86805
44,8,Ship,1,0,8,0,0,0.0,0.9999,-0.0,0,8,0,0,G,0.0,0.587,-0.0,0,8,0,8,0.86805
44,9,Truck,1,0,9,1,6,0.0,0.9999,0.0,0,9,1,6,G,0.0,0.587,0.0,0,9,0,9,0.86805
45,0,Airplane,0,1,5,13,14,0.0,0.9288,2e-06,1,5,13,14,G,0.0,0.5571,2e-06,1,5,1,5,0.8632
45,1,Automobile,0,1,5,1,23,0.0,0.9055,1e-06,1,5,1,21,G,0.0,0.5364,1e-06,1,5,1,5,0.8632
45,2,Bird,0,1,5,19,11,0.0,0.5888,2e-06,1,5,19,11,G,0.0,0.3384,2e-06,1,5,1,5,0.8632
45,3,Cat,0,1,5,17,21,0.0,0.9455,1e-06,1,5,17,21,G,0.0,0.5571,1e-06,1,5,1,5,0.8632
45,4,Deer,0,1,5,13,0,0.0,0.889,2e-06,1,5,13,0,G,0.0,0.5433,2e-06,1,5,1,5,0.8632
45,5,Dog,1,0,5,0,0,0.0,0.9999,-2e-06,0,5,0,0,G,0.0,0.587,-2e-06,0,5,0,5,0.8632
45,6,Frog,0,1,5,10,29,0.0,0.6681,2e-06,1,5,10,29,G,0.0,0.3913,2e-06,1,5,1,5,0.8632
45,7,Horse,0,1,5,2,22,0.0,0.9254,1e-06,1,5,2,22,G,0.0,0.5479,1e-06,1,5,1,5,0.8632
45,8,Ship,0,1,5,24,16,0.0,0.8472,2e-06,1,5,19,19,G,0.0,0.5018,2e-06,1,5,1,5,0.8632
45,9,Truck,0,1,5,25,19,0.0,0.9678,1e-06,1,5,25,19,G,0.0,0.5617,1e-06,1,5,1,5,0.8632
46,0,Airplane,1,0,0,1,0,0.0,0.9658,0.0,0,0,1,0,G,0.0,0.564,0.0,0,0,0,0,0.75291
46,1,Automobile,0,1,0,17,25,0.0,0.9895,-0.0,1,0,17,25,G,0.0,0.5824,-0.0,1,0,1,0,0.75291
46,2,Bird,0,1,0,12,12,0.0,0.8823,0.0,1,0,12,12,G,0.0,0.5202,0.0,1,0,1,0,0.75291
46,3,Cat,0,1,0,25,26,0.0,0.942,-0.0,1,0,25,26,G,0.0,0.5525,-0.0,1,0,1,0,0.75291
46,4,Deer,0,1,0,9,26,0.0,0.8447,0.0,1,0,9,26,G,0.0,0.488,0.0,1,0,1,0,0.75291
46,5,Dog,0,1,0,15,11,0.0,0.9328,0.0,1,0,15,11,G,0.0,0.5433,0.0,1,0,1,0,0.75291
46,6,Frog,0,1,0,13,23,0.0,0.869,1e-06,1,0,13,23,G,0.0,0.5202,1e-06,1,0,1,0,0.75291
46,7,Horse,0,1,0,0,11,0.0,0.9971,0.0,1,0,0,11,G,0.0,0.587,0.0,1,0,1,0,0.75291
46,8,Ship,0,1,0,20,15,0.0,0.8982,0.0,1,0,20,15,G,0.0,0.5202,0.0,1,0,1,0,0.75291
46,9,Truck,0,1,0,0,24,0.0,0.978,0.0,1,0,0,24,G,0.0,0.5732,0.0,1,0,1,0,0.75291
